국가,유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
고구려,구의동 보루,직기형,23,12,1.7,7,1.7
고구려,구의동 보루,직기형,22,10,1.4,4,1.7
고구려,구의동 보루,직기형,21,8,0.4,8,2
고구려,구의동 보루,직기형,19,6,1.4,6,2.6
고구려,구의동 보루,직기형,22,6,2.9,10,3.1
고구려,구의동 보루,직기형,21,6,2.9,10,3.4
고구려,구의동 보루,직기형,16,4,2,8,2.3
고구려,구의동 보루,연미형,19,8,1.7,6,1.4
고구려,구의동 보루,연미형,19,6,1.1,7,1.4
고구려,무등리 2보루,직기형,22,11,1.5,11,2
고구려,시루봉 보루,연미형,27,12,2,10,2.6
고구려,시루봉 보루,직기형,22,11,1.7,9,2.7
고구려,시루봉 보루,직기형,25,12,2.2,10,2.4
고구려,아차산 3보루,직기형,24,11,2.2,12,2.5
고구려,아차산 3보루,연미형,27,12,1.5,16,2.9
고구려,홍련봉 1보루,직기형,26,13,2.6,10,2.6
고구려,홍련봉 1보루,직기형,25,11,2.2,11,3.3
고구려,홍련봉 1보루,직기형,25,17,2.2,4,2.8
고구려,홍련봉 2보루,직기형,21,9,2.9,11,2.6
고구려,홍련봉 2보루,연미형,24,8,1.6,16,2.6
고구려,홍련봉 2보루,연미형,26,14,2.6,12,2.5
고구려,홍련봉 2보루,연미형,29,14,2.3,15,2.9
고구려,홍련봉 2보루,직기형,21,10,1.9,11,2.6
고구려,홍련봉 2보루,직기형,23,13,0.9,12,2.8
고구려,홍련봉 2보루,직기형,26,10,1.9,16,2.7
고구려,홍련봉 2보루,직기형,30,14,2.3,17,2.7
백제,군포 부곡동유적,연미형,32,15,2.4,18,2.8
백제,군포 부곡동유적,연미형,19,9,2,10,2.9
백제,군포 부곡동유적,연미형,25,10,2.1,15,3.1
백제,김포양촌유적,연미형,35,22,2.5,12,2.7
백제,김포 학운리유적,직기형,31,20,3,10,3.5
백제,서울 몽촌토성,직기형,22,11,3.4,10,3.5
백제,서울석촌동고분군,연미형,25,11,3.4,13,2.3
백제,서울 우면동유적,연미형,23,12,1.7,11,3.1
백제,"시흥은행동, 계수동유적",직기형,29,13,2.7,16,3.2
백제,안성도기동 고분군(Ⅰ),연미형,19,10,2.4,9,2.6
백제,안성도기동 고분군(Ⅰ),연미형,26,11,1.6,15,2.9
백제,안성도기동 고분군(Ⅰ),연미형,23,10,1.5,13,2.5
백제,안성도기동 고분군(Ⅰ),연미형,25,11,1.6,14,2.5
백제,안성도기동 고분군(Ⅰ),연미형,31,14,1.9,17,2.9
백제,안성도기동 고분군(Ⅰ),직기형,25,13,3.8,13,3
백제,안성도기동 고분군(Ⅰ),직기형,19,8,1.3,12,2.2
백제,안성도기동 고분군(Ⅰ),연미형,25,12,1.7,13,2.7
백제,안성도기동 고분군(Ⅰ),연미형,26,11,1.5,15,3
백제,안성 도기동유적,연미형,26,9,1.8,17,2.7
백제,안성 도기동유적,연미형,24,11,1.8,13,2.6
백제,안성 신두리유적,직기형,23,11,2.6,12,3
백제,여주 용은리유적,직기형,28,16,1.8,12,3.1
백제,오산궐동유적,직기형,27,19,3.7,8,3.2
백제,오산내삼미동유적,연미형,24,10,1.7,13,2.9
백제,오산수청동고분군 Ⅰ,직기형,26,13,2.5,13,3.2
백제,오산수청동고분군 Ⅰ,직기형,20,9,2.8,11,2.9
백제,오산수청동고분군 Ⅰ,직기형,29,15,2.1,14,2.8
백제,오산수청동고분군 Ⅰ,연미형,25,12,2.2,13,2.7
백제,오산수청동고분군 Ⅰ,직기형,26,11,2.1,15,2.8
백제,오산수청동고분군 Ⅰ,연미형,26,13,2.3,13,3
백제,오산수청동고분군 Ⅰ,직기형,19,10,2.7,9,2.7
백제,오산수청동고분군 Ⅰ,연미형,21,11,2.1,10,2.8
