유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
구의동 보루,직기형,23,12,1.7,7,1.7
구의동 보루,직기형,22,10,1.4,4,1.7
구의동 보루,직기형,21,8,0.4,8,2
구의동 보루,직기형,19,6,1.4,6,2.6
구의동 보루,직기형,22,6,2.9,10,3.1
구의동 보루,직기형,21,6,2.9,10,3.4
구의동 보루,직기형,16,4,2,8,2.3
구의동 보루,연미형,19,8,1.7,6,1.4
구의동 보루,연미형,19,6,1.1,7,1.4
무등리 2보루,직기형,22,11,1.5,11,2
시루봉 보루,연미형,27,12,2,10,2.6
시루봉 보루,직기형,22,11,1.7,9,2.7
시루봉 보루,직기형,25,12,2.2,10,2.4
아차산 3보루,직기형,24,11,2.2,12,2.5
아차산 3보루,연미형,27,12,1.5,16,2.9
홍련봉 1보루,직기형,26,13,2.6,10,2.6
홍련봉 1보루,직기형,25,11,2.2,11,3.3
홍련봉 1보루,직기형,25,17,2.2,4,2.8
홍련봉 2보루,직기형,21,9,2.9,11,2.6
홍련봉 2보루,연미형,24,8,1.6,16,2.6
홍련봉 2보루,연미형,26,14,2.6,12,2.5
홍련봉 2보루,연미형,29,14,2.3,15,2.9
홍련봉 2보루,직기형,21,10,1.9,11,2.6
홍련봉 2보루,직기형,23,13,0.9,12,2.8
홍련봉 2보루,직기형,26,10,1.9,16,2.7
홍련봉 2보루,직기형,30,14,2.3,17,2.7
