유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
군포 부곡동유적,연미형,32,15,2.4,18,2.8
군포 부곡동유적,연미형,19,9,2,10,2.9
군포 부곡동유적,연미형,25,10,2.1,15,3.1
김포양촌유적,연미형,35,22,2.5,12,2.7
김포 학운리유적,직기형,31,20,3,10,3.5
서울 몽촌토성,직기형,22,11,3.4,10,3.5
서울석촌동고분군,연미형,25,11,3.4,13,2.3
서울 우면동유적,연미형,23,12,1.7,11,3.1
"시흥은행동, 계수동유적",직기형,29,13,2.7,16,3.2
안성도기동 고분군(Ⅰ),연미형,19,10,2.4,9,2.6
안성도기동 고분군(Ⅰ),연미형,26,11,1.6,15,2.9
안성도기동 고분군(Ⅰ),연미형,23,10,1.5,13,2.5
안성도기동 고분군(Ⅰ),연미형,25,11,1.6,14,2.5
안성도기동 고분군(Ⅰ),연미형,31,14,1.9,17,2.9
안성도기동 고분군(Ⅰ),직기형,25,13,3.8,13,3
안성도기동 고분군(Ⅰ),직기형,19,8,1.3,12,2.2
안성도기동 고분군(Ⅰ),연미형,25,12,1.7,13,2.7
안성도기동 고분군(Ⅰ),연미형,26,11,1.5,15,3
안성 도기동유적,연미형,26,9,1.8,17,2.7
안성 도기동유적,연미형,24,11,1.8,13,2.6
안성 신두리유적,직기형,23,11,2.6,12,3
여주 용은리유적,직기형,28,16,1.8,12,3.1
오산궐동유적,직기형,27,19,3.7,8,3.2
오산내삼미동유적,연미형,24,10,1.7,13,2.9
오산수청동고분군 Ⅰ,직기형,26,13,2.5,13,3.2
오산수청동고분군 Ⅰ,직기형,20,9,2.8,11,2.9
오산수청동고분군 Ⅰ,직기형,29,15,2.1,14,2.8
오산수청동고분군 Ⅰ,연미형,25,12,2.2,13,2.7
오산수청동고분군 Ⅰ,직기형,26,11,2.1,15,2.8
오산수청동고분군 Ⅰ,연미형,26,13,2.3,13,3
오산수청동고분군 Ⅰ,직기형,19,10,2.7,9,2.7
오산수청동고분군 Ⅰ,연미형,21,11,2.1,10,2.8
오산수청동고분군 Ⅰ,직기형,25,13,2.3,12,2.7
오산수청동고분군 Ⅰ,직기형,21,9,2.3,11,2.9
오산수청동고분군 Ⅱ,직기형,22,12,1.8,10,2.5
오산수청동고분군 Ⅱ,연미형,22,9,2.1,13,2.8
오산수청동고분군 Ⅱ,직기형,25,11,1.9,14,2.7
오산수청동고분군 Ⅱ,연미형,22,11,1.9,11,2.5
오산수청동고분군 Ⅱ,연미형,23,11,1.8,12,2.4
오산수청동고분군 Ⅱ,직기형,30,14,2.2,16,3.1
오산수청동고분군 Ⅱ,연미형,27,15,2.3,12,2.6
오산수청동고분군 Ⅱ,연미형,24,11,1.8,13,3.1
오산수청동고분군 Ⅱ,연미형,23,12,2.2,11,2.4
오산수청동고분군 Ⅱ,연미형,22,9,2.1,12,3
오산수청동고분군 Ⅱ,연미형,22,10,1.9,13,2.6
오산수청동고분군 Ⅱ,연미형,18,9,2.3,9,2.5
오산수청동고분군 Ⅱ,직기형,20,6,1.5,14,2.6
오산수청동고분군 Ⅱ,연미형,19,6,1.6,14,2.7
오산수청동고분군 Ⅱ,연미형,32,15,2.6,17,2.9
오산수청동고분군 Ⅲ,연미형,26,12,2,14,3
오산수청동고분군 Ⅲ,직기형,24,11,2.3,13,2.8
오산수청동고분군 Ⅲ,연미형,26,14,2.1,12,2.7
오산수청동고분군 Ⅲ,직기형,23,11,2,12,3
오산수청동고분군 Ⅲ,연미형,22,13,2.4,9,2.6
오산수청동고분군 Ⅳ,직기형,17,8,2.1,9,2.4
오산수청동고분군 Ⅳ,연미형,23,12,2,11,3
오산수청동고분군 Ⅳ,연미형,27,15,2.3,12,2.3
용인 두창리유적,직기형,22,12,2,10,2.6
용인마평동 574-1번지,연미형,24,13,2.1,11,2.4
용인 상갈동유적,직기형,21,12,1.6,10,2.9
인천검단당하동 유적,직기형,33,16,2.4,17,3.3
인천검단지구유적 Ⅰ,직기형,28,13,2.7,15,3.1
인천검단지구유적 Ⅲ,연미형,23,13,2.6,11,2.6
인천 연희동유적,연미형,18,9,1.9,9,3.1
인천 연희동유적,연미형,22,12,2.4,10,2.7
인천 중산동유적,직기형,21,11,2.3,11,2.7
인천 중산동유적,직기형,24,12,2.5,12,3
평택해창리Ⅳ유적,연미형,27,11,2.3,15,3
평택해창리Ⅴ유적,연미형,24,13,2.7,12,2.8
하남덕풍동 수리골유적,연미형,30,14,2,16,3
화성마하리고분군,연미형,20,10,1.5,10,2.7
화성 요리고분군,연미형,23,12,2,11,2.9
증평 화성리유적,연미형,30,14,2,16,3.4
청원 갈산리유적,연미형,32,16,1.7,16,3.5
청원 갈산리유적,연미형,22,11,2,11,3.1
청원 갈산리유적,연미형,20,9,1.7,11,2.8
청원 갈산리유적,연미형,20,9,1.3,10,3
청원 갈산리유적,직기형,19,9,2,10,3
청원 갈산리유적,직기형,23,12,1.7,11,3.5
청원송대리유적(오창Ⅰ),직기형,30,15,2.8,15,3.3
청원송대리유적(오창Ⅰ),연미형,30,15,1.9,16,3
청원 주성리유적,연미형,28,14,2,14,3.1
청원 주성리유적,연미형,44,29,1.8,15,3.1
청원 주성리유적,연미형,20,10,1.8,11,2.7
청주 가경4지구유적,연미형,25,13,1.9,12,3.2
청주미평동 195-1번지,직기형,29,16,2.5,14,3
청주 봉명동유적,연미형,21,11,1.7,11,2.1
청주 봉명동유적,연미형,16,8,1.9,8,2.2
청주산남동 42-6번지유적,연미형,25,11,2.4,14,2.9
청주송절동 407번지유적,연미형,25,18,2.2,7,2.4
청주송절동 유적Ⅱ,직기형,27,13,1.7,15,2.8
청주송절동 유적Ⅱ,직기형,28,12,2.2,16,2.9
청주 신봉동유적(83),연미형,23,11,1.4,13,2.7
청주 신봉동유적(83),직기형,17,8,2.6,8,3
청주신봉동고분군(95),연미형,21,8,1.7,13,2.7
청주오송유적,직기형,20,9,1.8,11,2.5
청주오송유적,직기형,29,16,2.7,13,3
